RC#,RC Name,Category,Vendor#,Vendor Name,Address 1,Address 2,City,State,ZIP code,Amount,TPN_ID
10,SVC and Provost,6400,487952,BSN SPORTS INC,1180-A CALIFORNIA AVE,,CORONA,CA,92881,2550,10-6400-487952
10,SVC and Provost,6400,524312,"DERRICOTTE, TOINETTE MARIE",1630 WILLIAMSBURG PLACE,,PITTSBURGH,PA,15235,1768,10-6400-524312
10,SVC and Provost,6400,527227,PARCHMENT INC,DEPT 3397 PO BOX 123397,,DALLAS,TX,75312-3397,34730,10-6400-527227
10,SVC and Provost,6400,534142,ISAACSON MILLER INC,263 SUMMER ST,,BOSTON,MA,02210,14197,10-6400-534142
10,SVC and Provost,6400,535647,"WOOD, STACY E",4153 VERDANT ST,,LOS ANGELES,CA,90039,1000,10-6400-535647
10,SVC and Provost,6400,536913,CHRIS CALHOUN AGENCY,270 LAFAYETTE ST SUITE 1504,,NEW YORK,NY,10012,4824,10-6400-536913
10,SVC and Provost,6400,542990,HIGH SCHOOL COUNSELOR CONNECT,PO BOX 270071,,WEST HARTFORD,CT,06127,9950,10-6400-542990
10,SVC and Provost,6400,545122,"MALHAME, THERESE M",2694 ROSEBUD AVE,,MERRICK,NY,11566,13445,10-6400-545122
10,SVC and Provost,6400,548086,"ALDAMA, FREDERICK L",1761 ROXBURY RD,,UPPER ARLINGTON,OH,43212,2000,10-6400-548086
10,SVC and Provost,6400,550983,SCARLET COMPUTING SOLUTIONS LLC,PO BOX 2331,,PRINCETON,NJ,08543,144000,10-6400-550983
10,SVC and Provost,6400,552561,OTHOT LLC,"501 HOLLIDAY DR, SUITE 115",,PITTSBURGH,PA,15520,89000,10-6400-552561
10,SVC and Provost,6400,561577,VIRTUSALES INTERNATIONAL LIMITED,THIRD FLOOR SHERIDAN HOSUE,112-114 WESTERN ROAD,BRIGHTON,,BN3 1DD,27125,10-6400-561577
10,SVC and Provost,6400,569974,"LIGHTMAN, BERNARD",187 TAMARACK DRIVE,,THORNHILL,,L3T 4X3,3502,10-6400-569974
10,SVC and Provost,6400,571269,OLOGIE LLC,447 EAST MAIN STREET,,COLUMBUS,OH,43215,22000,10-6400-571269
10,SVC and Provost,6400,571859,BRAND IQ CREATIVE GROUP,600 GRANT ST SUITE 660,,PITTSBURGH,PA,15219,154700,10-6400-571859
10,SVC and Provost,6400,584217,"HARRIS, JONATHAN",5412 HOWE ST,,PITTSBURGH,PA,15232,1500,10-6400-584217
10,SVC and Provost,6400,586801,ANTHEM VIDEO PRODUCTION LLC,1936 FIFTH AVE,,PITTSBURGH,PA,15219,9855,10-6400-586801
10,SVC and Provost,6400,604791,"JOERGENSEN, FINN ARNE",DALSETVEIEN 88,,STAVANGER,,4018,1163,10-6400-604791
10,SVC and Provost,6400,618200,ARBUCKLE EDITORIAL,2740 NW 17TH ST,,OKLAHOMA CITY,OK,73107,4583,10-6400-618200
10,SVC and Provost,6400,620283,EAB,PO BOX 603519,,CHARLOTTE,NC,28260-3519,509091,10-6400-620283
10,SVC and Provost,6400,622475,"BAX, JESSICA LETOURNEUR",4307 MONTPELIER PL,,COLUMBIA,MO,65203,7211,10-6400-622475
10,SVC and Provost,6400,625166,"HUDGENS, SARAH",6912 DUBUQUE LN,,AUSTIN,TX,78723,1431,10-6400-625166
10,SVC and Provost,6400,625167,NICOLE WAYLAND EDITING,14347 91ST AVE,,SEMINOLE,FL,33776,6806,10-6400-625167
10,SVC and Provost,6400,628818,CAMPUSLOGIC INC,1340 S SPECTRUM BLVD STE 200,,CHANDLER,AZ,85286,168590,10-6400-628818
10,SVC and Provost,6400,631593,NICHE.COM INC,5830 ELLSWORTH AVE,STE 101,PITTSBURGH,PA,15232,46990,10-6400-631593
10,SVC and Provost,6400,632622,KEELING AND ASSOCIATES LLC,55 HARRY KEMP WAY,,PROVINCETOWN,MA,02657,34555,10-6400-632622
10,SVC and Provost,6400,635013,CARNEGIE DARTLET LLC,210 LITTLETON RD,STE 100,WESTFORD,MA,01886,723082,10-6400-635013
10,SVC and Provost,6400,637430,BEYOND THEORY TO PRACTICE LLC,6644 CADENCE BLVD,,ATLANTA,GA,30328,34850,10-6400-637430
10,SVC and Provost,6400,658497,"WISEL, KAITLIN",1454 WEST FARGO AVE APT 1A,,CHICAGO,IL,60626,1329,10-6400-658497
10,SVC and Provost,6400,660349,ASCENDIUM EDUCATION SOLUTIONS INC,2501 INTERNATIONAL LN,,MADISON,WI,53704,1050,10-6400-660349
10,SVC and Provost,6400,663516,"PECKHAM, ROBERT SHANNAN","RM 1045, 10F RUN RUN SHAW TWR",CENTENNIAL CAMPUS,HONG KONG,,,1500,10-6400-663516
10,SVC and Provost,6400,669621,SCISSORTAIL EDITORIAL,1410 MELROSE DR,,NORMAN,OK,73069,4624,10-6400-669621
10,SVC and Provost,6400,671048,CYAN CREATIVE LLC,PO BOX 723,,NIXA,MO,65714,29194,10-6400-671048
10,SVC and Provost,6400,673489,MEDIACROSS INC,2001 S HANLEY RD,STE 510,SAINT LOUIS,MO,63144,54683,10-6400-673489
10,SVC and Provost,6400,674169,BEAR LEFT BEAR LLC,131 41ST ST,,PITTSBURGH,PA,15201,9000,10-6400-674169
10,SVC and Provost,6400,686465,"NACKMAN, DAVID ALLEN",12 HEIGHTS DR,,PITTSBURGH,PA,15209,1600,10-6400-686465
10,SVC and Provost,6400,687419,IDP CONNECT INC,1617 JFK BLVD 20TH FL,STE 2044,PHILADELPHIA,PA,19103,15000,10-6400-687419
10,SVC and Provost,6400,689064,IDQ LLC,2560 S OCEAN BLVD #402,,PALM BEACH,FL,33480,3955,10-6400-689064
10,SVC and Provost,6400,689440,"WILLIAMS, AMBER",708 RED CARRIAGE AVE,,DURHAM,NC,27704,1565,10-6400-689440
10,SVC and Provost,6400,690263,"MCKAY, TULIE",1301 VILLAGER PASS NE,,GRAND RAPIDS,MI,49505,3949,10-6400-690263
10,SVC and Provost,6400,691968,FIRE ENGINE RED INC,PO BOX 1017,,HAVERTOWN,PA,19083-0017,1586,10-6400-691968
10,SVC and Provost,6400,693407,PHILADELPHIA FUTURES,123 S BROAD ST STE 850,,PHILADELPHIA,PA,19109,5500,10-6400-693407
10,SVC and Provost,6400,695143,CENTER FOR URBAN HISTORY OF EAST CENTRAL,SCHILLERPLATZ 4/1/602,,VIENNA,,1010,1002,10-6400-695143
10,SVC and Provost,6400,697570,"MORTON, TERRELL RODERICK",1115 KENNESAW RIDGE ROAD UNIT 101,,COLUMBIA,MO,65202,1000,10-6400-697570
10,SVC and Provost,6400,700388,BLUE ICON ADVISORS LLC,1801 PENNSYLVANIA AVE,NW STE 850,WASHINGTON,DC,20006-3606,2550,10-6400-700388
10,SVC and Provost,6700,111810,UNIVERSITY OF CHICAGO PRESS,PO BOX 37005,,CHICAGO,IL,60637,44938,10-6700-111810
10,SVC and Provost,6700,113479,UNITED STATES POSTAL SERVICE,3900 CROWN ROAD,RM 126,ATLANTA,PA,30304-9651,200000,10-6700-113479
10,SVC and Provost,6800,104370,PARADIGM INC,4663 HAYGOOD RD,STE 201,VIRGINIA BEACH,VA,23455,142615,10-6800-104370
10,SVC and Provost,6800,255016,"ROYAL PALM PRESS, INC",4288 JOTOMA LANE,,CHARLOTTE HARBOR,FL,33980,4602,10-6800-255016
10,SVC and Provost,6900,109777,REGENTS OF THE UNIVERSITY OF MINNESOTA,DEPT OF SPONSORED FINANCIAL REPORT,1100 WASHINGTON AVENUE SOUTH,MINNEAPOLIS,MN,55415-1226,8675,10-6900-109777
10,SVC and Provost,6900,160900,AMERICAN COUNCIL OF LEARNED SOCIETIES,228 EAST 45TH STREET,,NEW YORK,NY,10017-3398,7905,10-6900-160900
10,SVC and Provost,6900,236854,WISCONSIN CENTER FOR EDUCATION RESEARCH,1025 W JOHNSON STREET,ROOM 242,MADISON,WI,53706-1796,10000,10-6900-236854
10,SVC and Provost,6900,266351,ASSOCIATION OF UNIVERSITY PRESSES INC,71 WEST 23RD STREET,SUITE 901,NEW YORK,NY,10010,6493,10-6900-266351
10,SVC and Provost,6900,455182,ACADEMIC ANALYTICS LLC,8008 CORPORATE CENTER DR,SUITE 201,CHARLOTTE,NC,28226,39000,10-6900-455182
10,SVC and Provost,6900,500919,VERSATILE PHD LLC,171 PIER AVE UNIT 129,,SANTA MONICA,CA,90405-5363,4000,10-6900-500919
10,SVC and Provost,6900,520945,NATIONAL CENTER FOR FACULTY DEVELOPMENT,2885 SANFORD AVE SW,UNIT 27580,GRANDVILLE,MI,49418,45500,10-6900-520945
10,SVC and Provost,7000,434770,PEOPLES NATURAL GAS,PO BOX 9037,,ADDISON,TX,75001-9037,1032,10-7000-434770
10,SVC and Provost,7140,112977,CALDWELL'S WINDOWARE INC,166 WABASH ST,,PITTSBURGH,PA,15220,1347,10-7140-112977
10,SVC and Provost,7300,104384,FRANKLIN INTERIORS,PO BOX 6107,,HERMITAGE,PA,16148-0923,1920,10-7300-104384
10,SVC and Provost,7400,107196,MARSTON BOOK SERVICES LTD,PO BOX 269,,ABINGDON,,OX14 4YN,6222,10-7400-107196
10,SVC and Provost,7400,110514,"SHERIDAN PRESS, INC",PO BOX 75082,,BALTIMORE,MD,21275,10681,10-7400-110514
10,SVC and Provost,7400,111810,UNIVERSITY OF CHICAGO PRESS,PO BOX 37005,,CHICAGO,IL,60637,20506,10-7400-111810
10,SVC and Provost,7400,138149,"DUNN & CO, INC",75 GREEN STREET,,CLINTON,MA,01510,8704,10-7400-138149
10,SVC and Provost,7400,214726,"SHERIDAN BOOKS, INC",PO BOX 75267,,BALTIMORE,MD,21275-5267,58806,10-7400-214726
10,SVC and Provost,7400,317649,MAPLE PRESS COMPANY,P O BOX 64554,,BALTIMORE,MD,21264-4554,70834,10-7400-317649
10,SVC and Provost,7400,423272,"VERSA PRESS, INC",1465 SPRING BAY ROAD,,EAST PEORIA,IL,61611-9788,38875,10-7400-423272
15,College of General Studies,6000,103356,DELL MARKETING LP,DEPT AT 40275,,ATLANTA,GA,31192-0001,5604,15-6000-103356
15,College of General Studies,6000,570241,WILSON GROUP LLC KW23,801 VINIAL STREET 3RD FLOOR,,PITTSBURGH,PA,15212,1627,15-6000-570241
15,College of General Studies,6000,588965,EMMA INC,75 REMITTANCE DRIVE SUITE 6222,,CHICAGO,IL,60675-6222,3570,15-6000-588965
15,College of General Studies,6400,110087,"RUESCH, JOSEPH A",233 EDGEWOOD AVE #A4,,PITTSBURGH,PA,15218,4400,15-6400-110087
15,College of General Studies,6400,446351,BRUCE GOLDSTEIN PUBLISHING,1209 DENNISTON ST,,PITTSBURGH,PA,15217,1600,15-6400-446351
15,College of General Studies,6400,575888,"PISANO, MICHAEL",5468 BLACK STREET,,PITTSBURGH,PA,15206,4000,15-6400-575888
15,College of General Studies,6400,664027,YOGA U PGH LLC,3608 FORBES AVE,,PITTSBURGH,PA,15213,1950,15-6400-664027
20,Honors College,6000,100877,APPLE COMPUTER INC,PO BOX 281877,,ATLANTA,GA,30384-1877,2886,20-6000-100877
20,Honors College,6000,103356,DELL MARKETING LP,DEPT AT 40275,,ATLANTA,GA,31192-0001,8003,20-6000-103356
20,Honors College,6000,308555,BLICK ART MATERIALS,P O BOX 26,,ALLENTOWN,PA,18105,1119,20-6000-308555
20,Honors College,6000,521322,SUPRA OFFICE SOLUTIONS INC,PO BOX 201,,BALA CYNWYD,PA,19004,2413,20-6000-521322
20,Honors College,6000,580866,SPROUT SOCIAL INC,131 S DEARBORN ST STE 700,,CHICAGO,IL,60603,3129,20-6000-580866
20,Honors College,6400,680847,"DAVIS, LARRY E",944 N SHERIDAN AVE,,PITTSBURGH,PA,15206,2000,20-6400-680847
21,Katz Graduate School of Business,6000,100877,APPLE COMPUTER INC,PO BOX 281877,,ATLANTA,GA,30384-1877,2117,21-6000-100877
21,Katz Graduate School of Business,6000,101243,B&H PHOTO VIDEO,119 WEST 17TH STREET,,NEW YORK,NY,10011,7390,21-6000-101243
21,Katz Graduate School of Business,6000,103356,DELL MARKETING LP,DEPT AT 40275,,ATLANTA,GA,31192-0001,76242,21-6000-103356
21,Katz Graduate School of Business,6000,106168,JOSTENS INC,PO BOX 101097,,ATLANTA,GA,30392,2140,21-6000-106168
21,Katz Graduate School of Business,6000,109296,"PLANTSCAPE, INC",3101 LIBERTY AVE,,PITTSBURGH,PA,15201,2315,21-6000-109296
21,Katz Graduate School of Business,6000,111807,UNIVERSITY OF CHICAGO,PO BOX 4110,OFFICE OF THE BURSAR,CAROL STREAM,IL,60197-4110,46910,21-6000-111807
21,Katz Graduate School of Business,6000,111864,UNIVERSITY OF NEBRASKA-LINCOLN,INTERLIBRARY LOAN,204B LOVE LIBRARY,LINCOLN,NE,68588,1004,21-6000-111864
21,Katz Graduate School of Business,6000,111878,UNIVERSITY OF PENNSYLVANIA,566 DULLES,3400 SPRUCE ST,PHILADELPHIA,PA,19104-4283,71050,21-6000-111878
21,Katz Graduate School of Business,6000,111928,UNIVERSITY OF WISCONSIN,"642 UNIVERSITY DR, EAU CLAIRE HOUSING",688 TOWERS NORTH,EAU CLAIRE,WI,54701,8000,21-6000-111928
21,Katz Graduate School of Business,6000,112354,WENDELL AUGUST FORGE INC,620 MADISON AVENUE,,GROVE CITY,PA,16127-0109,1005,21-6000-112354
21,Katz Graduate School of Business,6000,115786,HARVARD BUSINESS SCHOOL PUBLISHING,60 HARVARD WAY,BOX 230-5,BOSTON,MA,02163-1001,5192,21-6000-115786
21,Katz Graduate School of Business,6000,122065,INTERPRETIVE SOFTWARE INC,3215 NORTH CHARLES,APT 509,BALTIMORE,MD,21218,1304,21-6000-122065
21,Katz Graduate School of Business,6000,122779,A BASKET OF PITTSBURGH,1401 MCLAUGHLIN RUN ROAD,,PITTSBURGH,PA,15241,4215,21-6000-122779
21,Katz Graduate School of Business,6000,155209,HARVARD BUSINESS SCHOOL,PUBLISHING DIVISION,OPERATIONS DEPT,BOSTON,MA,02163-0000,1990,21-6000-155209
21,Katz Graduate School of Business,6000,156242,AMERICAN HOSPITAL DIRECTORY INC,620 W MAIN STREET,SUITE 200A,LOUISVILLE,KY,40202-0000,1200,21-6000-156242
21,Katz Graduate School of Business,6000,168759,CAWLEY,1544 N 8TH STREET,P O BOX 2110,MANITOWOC,WI,54221-2110,1420,21-6000-168759
21,Katz Graduate School of Business,6000,185133,CDW GOVERNMENT INC,75 REMITTANCE DR,SUITE 1515,CHICAGO,IL,60675-1515,17774,21-6000-185133
21,Katz Graduate School of Business,6000,185404,SMARTSOLUTION TECHNOLOGIES LP,831 W NORTH AVE,,PITTSBURGH,PA,15233,5631,21-6000-185404
21,Katz Graduate School of Business,6000,194223,PEARSON EDUCATION,PO BOX 409479,,ATLANTA,GA,30384-9479,1140,21-6000-194223
21,Katz Graduate School of Business,6000,201959,EXECUTIVE MBA COUNCIL,ONE UNIVERSITY DR,ASBE,ORANGE,CA,92866,1995,21-6000-201959
21,Katz Graduate School of Business,6000,216036,VAULT.COM INC,PO BOX 809205,INFOBASE,CHICAGO,IL,60680-9201,1642,21-6000-216036
21,Katz Graduate School of Business,6000,223769,DLT SOLUTIONS LLC,PO BOX 102549,,ATLANTA,GA,30368,2559,21-6000-223769
21,Katz Graduate School of Business,6000,262228,AMAZON WEB SERVICES INC,PO BOX 530958,,ATLANTA,GA,30353-0958,6347,21-6000-262228
21,Katz Graduate School of Business,6000,265019,WWW.THINGSREMEMBERED.COM,,,,,44451,1910,21-6000-265019
21,Katz Graduate School of Business,6000,371560,"HORIZON INFORMATION SERVICES, INC",1647 BUTLER PLANK ROAD,,GLENSHAW,PA,15116,51267,21-6000-371560
21,Katz Graduate School of Business,6000,372253,BLOOMBERG,BNA,PO BOX 17009,BALTIMORE,MD,21297-1009,77658,21-6000-372253
21,Katz Graduate School of Business,6000,378680,"PROQUEST, LLC",789 E EISENHOWER PKWY,,ANN ARBOR,MI,48106-1346,21278,21-6000-378680
21,Katz Graduate School of Business,6000,383884,CAREER LEADER LLP,1330 BEACON ST,SUITE 249,BROOKLINE,MA,02446,3045,21-6000-383884
21,Katz Graduate School of Business,6000,398245,STATPOINT TECHNOLOGIES INC,P O BOX 208,,ORLEAN,VA,20128,1000,21-6000-398245
21,Katz Graduate School of Business,6000,400742,TRADEREX LLC,BARUCH COLLEGE/CUNY  EILEEN STEMPEL,ONE BERNARD BARUCH WAY,NEW  YORK,NY,10010,19000,21-6000-400742
21,Katz Graduate School of Business,6000,400791,UNDERGROUND PRINTING,"260 METTY DRIVE, SUITE G",,ANN ARBOR,MI,48103,1594,21-6000-400791
21,Katz Graduate School of Business,6000,400801,IVES  GROUP INC,9 MAIN STREET,SUITE 2F,SUTTON,MA,01590,12500,21-6000-400801
21,Katz Graduate School of Business,6000,402318,SPIRION LLC,29252 NETWORK PLACE,,CHICAGO,IL,60673-1292,2418,21-6000-402318
21,Katz Graduate School of Business,6000,445671,SALESFORCE.ORG,PO BOX 203141,,DALLAS,TX,75320-3141,35994,21-6000-445671
21,Katz Graduate School of Business,6000,456323,REFINITIV US LLC,P O BOX 415983,,BOSTON,MA,02241-5983,120648,21-6000-456323
21,Katz Graduate School of Business,6000,482522,BOARDEX LLC,330 MADISON AVENUE,SUITE 634,NEW YORK,NY,10017,57650,21-6000-482522
21,Katz Graduate School of Business,6000,521322,SUPRA OFFICE SOLUTIONS INC,PO BOX 201,,BALA CYNWYD,PA,19004,3144,21-6000-521322
21,Katz Graduate School of Business,6000,557697,GLO-BUS SOFTWARE INC,5710 WATERMELON RD STE 200,,NORTHPORT,AL,35473,2248,21-6000-557697
21,Katz Graduate School of Business,6000,569657,INTERNATIONAL ADVANTAGE LLC,1717 R ST NW APT 502,,WASHINGTON,DC,20009,3500,21-6000-569657
21,Katz Graduate School of Business,6000,570953,S&P GLOBAL MARKET INTELLIGENCE INC,33356 COLLECTION CENTER DRIVE,,CHICAGO,IL,60693-0333,169308,21-6000-570953
21,Katz Graduate School of Business,6000,580196,RISE VISION,PCARD,,,ON,000000000,2898,21-6000-580196
21,Katz Graduate School of Business,6000,580528,EDUSOURCED INC,1391 FIFTH AVENUE,SUITE 214,COLUMBUS,OH,43212-2403,9950,21-6000-580528
21,Katz Graduate School of Business,6000,604190,QUANTUM ADAPTIVE LEARNING LLC,309 MANOR RD,,DELMONT,PA,15626,1098,21-6000-604190
21,Katz Graduate School of Business,6000,632250,JITTERBIT INC,1301 MARINA VILLAGE PARKWAY SUITE 201,,ALAMEDA,CA,94501,19750,21-6000-632250
21,Katz Graduate School of Business,6000,659344,INFEGY INFEGY,PCARD,,,MO,641160000,6000,21-6000-659344
21,Katz Graduate School of Business,6000,662562,SCREEN-MAGIC INC,PCARD,,,NV,890520000,1000,21-6000-662562
21,Katz Graduate School of Business,6000,671714,CAREERNOMICS S.A.,41A ROUTE DE JEUNES,,GENEVA,,1227,5415,21-6000-671714
21,Katz Graduate School of Business,6000,674401,BUREAU VAN DIJK ELECTRONIC PUBLISHING IN,7 WORLD TRADE CTR,250 GREENWICH ST,NEW YORK,NY,10007,22050,21-6000-674401
21,Katz Graduate School of Business,6400,100648,AMERICAN MARKETING ASSOCIATION,250 S WACKER DR,SUITE 5800,CHICAGO,IL,60606-2266,5000,21-6400-100648
21,Katz Graduate School of Business,6400,109211,PITTSBURGH TECHNOLOGY COUNCIL,2000 TECHNOLOGY DRIVE,SUITE 100,PITTSBURGH,PA,15219,2500,21-6400-109211
21,Katz Graduate School of Business,6400,199849,PITTSBURGH HUMAN RESOURCES ASSOCIATION,425 SIXTH AVENUE,SUITE 1650,PITTSBURGH,PA,15219-1850,12000,21-6400-199849
21,Katz Graduate School of Business,6400,348709,QS QUACQUARELLI SYMONDS LIMITED,"19675, 5505 N CUMBERLAND AVE, SUITE 307",,CHICAGO,IL,60656-1471,25875,21-6400-348709
21,Katz Graduate School of Business,6400,364840,PM CENTERS USA LLC,634 ALPHA DRIVE,,PITTSBURGH,PA,15238-2802,5049,21-6400-364840
21,Katz Graduate School of Business,6400,398666,MBA TOUR INC,20 SHAWNEE ROAD,,ARLINGTON,MA,02476,10770,21-6400-398666
21,Katz Graduate School of Business,6400,425261,PITTSBURGH YOUNG PROFESSIONALS,P.O. BOX 23127,ESPIRIT SPONSORSHIP,PITTSBURGH,PA,15222,5000,21-6400-425261
21,Katz Graduate School of Business,6400,457583,LINKEDIN CORPORATION,62228 COLLECTIONS CENTER DRIVE,,CHICAGO,IL,60693-0622,24700,21-6400-457583
21,Katz Graduate School of Business,6400,468106,BLENDER INC,6741 REYNOLDS STREET,,PITTSBURGH,PA,15206,35000,21-6400-468106
21,Katz Graduate School of Business,6400,511153,PRITZWALK GMBH & CO KG,QUITZOWSTR 105,,BERLIN,,D 10551,1320,21-6400-511153
21,Katz Graduate School of Business,6400,516782,"SANTOS, MARCELA GONTIJO FERREIRA",ALAMEDA JAUAPERI 755 AP 82,,SAO PAULO,,04523-013,17365,21-6400-516782
21,Katz Graduate School of Business,6400,539770,ATENDIA EAD,20 SERDIKA STREET 3RD FL,,SOFIA,,1000,10004,21-6400-539770
21,Katz Graduate School of Business,6400,578974,DREAMBRIDGE PARTNERS LLC,59 SCITUATE STREET,,ARLINGTON,MA,02476,3500,21-6400-578974
21,Katz Graduate School of Business,6400,582786,IDESIGN EDU LLC,800 JACKSON ST SUITE 384,,DALLAS,TX,75202,176750,21-6400-582786
21,Katz Graduate School of Business,6400,603186,C CHANGE MEDIA INC,101 BROADWAY STE 208,,OAKLAND,CA,94607,15450,21-6400-603186
21,Katz Graduate School of Business,6400,608936,"SUTTON, JOANNA C",905 BAYVIEW CT,,CRANBERRY TOWNSHIP,PA,16066,7500,21-6400-608936
21,Katz Graduate School of Business,6400,617502,YOGAROOTS ON LOCATION LLC,20984 UPTOWN AVE APT 401,,BOCA RATON,FL,33428,1000,21-6400-617502
21,Katz Graduate School of Business,6400,627002,MBA VETERANS NETWORK INC,1825 BARRETT LAKES BLVD STE 300,,KENNESAW,GA,30144,7950,21-6400-627002
21,Katz Graduate School of Business,6400,658611,CENTRE D'ACCESS SECURISE AUX DONNEES,5 AVE HENRY LE CHATELIER,TSA 16643,PALAISEAU,,91120,3954,21-6400-658611
21,Katz Graduate School of Business,6400,671585,DEXTERITAS LLC,201 ACADEMY AVE,,PITTSBURGH,PA,15228,29200,21-6400-671585
21,Katz Graduate School of Business,6400,687459,"GITHONGO, NANCY",2912 BLUE VALLEY,,KIAMBUTHI,,,1716,21-6400-687459
21,Katz Graduate School of Business,6400,689297,"ALEXANDER, LAWRENCE",88 DEGARIS AVE,,SOUTH DARTMOUTH,MA,02748,6000,21-6400-689297
21,Katz Graduate School of Business,6400,694224,RCHIVE LLC,1628 S BUNDY #107,,LOS ANGELES,CA,90025,1505,21-6400-694224
21,Katz Graduate School of Business,6400,694414,NEWTON PRODUCTIONS LIMITED,TWO CHINACHEM PLAZA,135 DES VOEUX ROAD CENTRAL,CENTRAL,,,14500,21-6400-694414
21,Katz Graduate School of Business,6400,697306,K MARTINEZ CONSULTING LLC,22 CONGRESS AVE,UNIT 1,CHELSEA,MA,02150,2000,21-6400-697306
21,Katz Graduate School of Business,6400,699433,OUT TO LUNCH INC,25 MINETTA LANE 3D,,NEW YORK,NY,10012,2000,21-6400-699433
21,Katz Graduate School of Business,6400,700713,"LACARRUBBA, BRANDON",617 6TH AVE W,,EAST NORTHPORT,NY,11731,1000,21-6400-700713
21,Katz Graduate School of Business,6900,119836,AACSB INTERNATIONAL,BOX 116201,,ATLANTA,GA,30368-6201,18500,21-6900-119836
21,Katz Graduate School of Business,6900,557697,GLO-BUS SOFTWARE INC,5710 WATERMELON RD STE 200,,NORTHPORT,AL,35473,3371,21-6900-557697
22,School of Education,6000,100877,APPLE COMPUTER INC,PO BOX 281877,,ATLANTA,GA,30384-1877,68441,22-6000-100877
22,School of Education,6000,101243,B&H PHOTO VIDEO,119 WEST 17TH STREET,,NEW YORK,NY,10011,26729,22-6000-101243
22,School of Education,6000,103356,DELL MARKETING LP,DEPT AT 40275,,ATLANTA,GA,31192-0001,7706,22-6000-103356
22,School of Education,6000,104257,FISHER SCIENTIFIC COMPANY LLC,PO BOX 406538,,ATLANTA,GA,30384-6538,1013,22-6000-104257
22,School of Education,6000,104384,FRANKLIN INTERIORS,PO BOX 6107,,HERMITAGE,PA,16148-0923,4182,22-6000-104384
22,School of Education,6000,104771,GOPHER SPORT,NW 5634,PO BOX 1450,MINNEAPOLIS,MN,55485-5634,3117,22-6000-104771
22,School of Education,6000,106511,KURTZ BROS,400 REED STREET,POST OFFICE BOX 392,CLEARFIELD,PA,16830,1974,22-6000-106511
22,School of Education,6000,108586,ORIENTAL TRADING COMPANY,PO BOX 14502,,DES MOINES,IA,50306,1015,22-6000-108586
22,School of Education,6000,133066,SCHOOL HEALTH CORP,DEPT 77-6764,SCHOOL HEALTH CORP,CHICAGO,IL,60678-6764,1361,22-6000-133066
22,School of Education,6000,159890,WENGER CORP,SDS-10-0251,PO BOX 86,MINNEAPOLIS,MN,55486-0251,1334,22-6000-159890
22,School of Education,6000,184695,PITSCO EDUCATION,13569 COLLECTIONS CENTER DRIVE,,CHICAGO,IL,184695,1601,22-6000-184695
22,School of Education,6000,185133,CDW GOVERNMENT INC,75 REMITTANCE DR,SUITE 1515,CHICAGO,IL,60675-1515,108830,22-6000-185133
22,School of Education,6000,212828,HOME DEPOT,PO BOX 105991 DEPT 24,,ATLANTA,GA,30348,13091,22-6000-212828
22,School of Education,6000,262228,AMAZON WEB SERVICES INC,PO BOX 530958,,ATLANTA,GA,30353-0958,45544,22-6000-262228
22,School of Education,6000,340161,FRIDAY MARKETING GROUP,413 S MAIN ST,,PITTSBURGH,PA,15215,1371,22-6000-340161
22,School of Education,6000,368259,CITY OF ASYLUM PITTSBURGH,PO BOX 140309,ALARM PROGRAM,IRVING,TX,75014,2252,22-6000-368259
22,School of Education,6000,400791,UNDERGROUND PRINTING,"260 METTY DRIVE, SUITE G",,ANN ARBOR,MI,48103,1765,22-6000-400791
22,School of Education,6000,420993,HORIZON SOFTWARE INTERNATIONAL LLC,P O BOX 934248,,ATLANTA,GA,31193-4248,2871,22-6000-420993
22,School of Education,6000,427655,"PROTECH PROFESSIONAL TECHNICAL SERVICES,",610 BEATTY ROAD,,MONROEVILLE,PA,15146,1500,22-6000-427655
22,School of Education,6000,439201,ZOHO CORPORATION,PO BOX 742760,,LOS ANGELES,CA,90074-2760,2908,22-6000-439201
22,School of Education,6000,457805,AV LAUTTAMUS COMMUNICATIONS INC,29 NOBLESTOWN RD,,CARNEGIE,PA,15106,1758,22-6000-457805
22,School of Education,6000,470395,FACEBOOK,,,,,94304,32946,22-6000-470395
22,School of Education,6000,474946,SOCIOCULTURAL RESEARCH CONSULTANTS LLC,PCARD,,,CA,902660000,1550,22-6000-474946
22,School of Education,6000,478648,WEBSTAURANT STORE,PCARD,,,PA,176020000,1879,22-6000-478648
22,School of Education,6000,514424,DON JOHNSTON LLC,PCARD,,,IL,600730000,1620,22-6000-514424
22,School of Education,6000,521322,SUPRA OFFICE SOLUTIONS INC,PO BOX 201,,BALA CYNWYD,PA,19004,27648,22-6000-521322
22,School of Education,6000,523700,ZOOM US,PCARD,,,CA,951480000,6264,22-6000-523700
22,School of Education,6000,566494,INSTRUCTURE INC,DEPT CH 16968,,PALATINE,IL,60055-6968,3875,22-6000-566494
22,School of Education,6000,624915,DSE REC LLC,5 HACKENSACK TERRACE,,CHESTNUT HILL,MA,02467,1500,22-6000-624915
22,School of Education,6000,632167,BURKEMICHAEL+,833 BEECH AVE,,PITTSBURGH,PA,15233,52123,22-6000-632167
22,School of Education,6000,685648,FACILITIES MANAGEMENT EXPRESS LLC,800 YARD ST  STE 115,,COLUMBUS,OH,43212,4800,22-6000-685648
